Шаг процесса,Входные данные,Исполнители,Выходной результат
Привлечение клиента,"Канал (branch / online / partner), регион, продукт (consumer / car / renovation / education)",Маркетинг / Продажи,Заявка клиента
Сбор данных по клиенту,"Заявка, анкета (возраст, доход, занятость, стаж), данные бюро (credit_score, DTI)",Андеррайтинг / Скоринг,Профиль клиента и параметры кредита
Первичный скоринг,"credit_score, dti_ratio, monthly_income, employment_type",Риск-менеджмент,Решение: одобрить / отклонить / ручной андеррайтинг
Андеррайтинг и назначение условий,"Скоринговый результат, loan_amount, loan_term_months, interest_rate",Андеррайтинг,Одобренные условия кредита
Выдача кредита,Одобренная заявка,Операционный блок,"Активный кредит (loan_amount, issue_date, monthly_payment)"
Мониторинг портфеля,Платежная дисциплина клиента,Риск-мониторинг / Collection,Статус кредита: current / overdue / default
Работа с просроченной задолженностью,days_past_due,Collection / Проблемная задолженность,Дефолт is_default = 1 при DPD >= 90
Оценка доходности и рисков,"loan_portfolio_clean, branch_reference",Финансы / Бизнес-анализ / Риск,"Отчет по доходности, EL, план-факту"
